•Èid;participant.code;participant.time_started_utc;player.treatment;player.sReward;player.iTrialDec;player.iDec;player.iDec2;player.EmotionalStatus;player.sTag1;player.sTag2;player.sTag3;tag.effort;player.iLikes;player.iDislikes;player.dRTDec1;player.dRTFeed;player.dRTPost;player.dRTTags;player.dRTFeedback;player.dRTEmotionalStatus;Totaltrial;LATENCY;subsession.round_number;session.code
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;866;2792;;;;;3,658;;34;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;831;2469;;;;;3,3;;35;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;574;5533;;;;;6,107;;36;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;915;5821;;;;;6,736;;37;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;964;3249;;;;;4,213;;38;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;604;2642;;;;;3,246;;39;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;806;7467;;;;;8,273;;40;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;1;;;;;;;;;3625;6047;;;;;9,672;;1;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;1;;;;;;;;;3683;3787;;;;;7,47;;2;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;Post;;54;35;war;unforgivable;;;28;12;2109;;20432;18500;3634;8883;53,558;;3;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;2;;;;;;;;;5065;7459;;;;;12,524;;4;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;Post;;63;35;gender;life;;;33;7;1573;;19237;10059;2262;7981;41,112;;5;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;2;;;;;;;;;2634;5097;;;;;7,731;;6;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;2;;;;;;;;;1553;3288;;;;;4,841;;7;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;1;;;;;;;;;794;4170;;;;;4,964;;8;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;Post;;32;60;science;evolution;;;33;7;948;;11041;11484;1899;12968;38,34;;9;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;1;;;;;;;;;6747;7962;;;;;14,709;;10;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;1;;;;;;;;;2562;3994;;;;;6,556;;11;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;Post;;18;71;birthday;celebration;happy;;31;9;1829;;8296;8753;2221;4398;25,497;;12;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;2;;;;;;;;;19104;4505;;;;;23,609;;13;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;2;;;;;;;;;1556;4762;;;;;6,318;;14;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;2;;;;;;;;;1634;3741;;;;;5,375;;15;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;Post;;57;65;class;success;;;28;12;1095;;21721;15572;3225;4258;45,871;;16;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;2;;;;;;;;;3097;3731;;;;;6,828;;17;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;1;;;;;;;;;2069;3655;;;;;5,724;;18;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;1;;;;;;;;;4214;4929;;;;;9,143;;19;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;HR;See;1;;;;;;;;;1382;3696;;;;;5,078;;20;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;Post;;140;49;cool;gangsta;;;20;20;1061;;14061;9753;2911;4546;32,332;;21;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;1;;;;;;;;;2631;3054;;;;;5,685;;22;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;2;;;;;;;;;1302;4903;;;;;6,205;;23;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;1;;;;;;;;;1119;5169;;;;;6,288;;24;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;Post;;153;50;theoffice;michaelscott;speed;;20;20;1403;;16160;13684;2046;2542;35,835;;25;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;2;;;;;;;;;7377;3896;;;;;11,273;;26;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;2;;;;;;;;;2088;3213;;;;;5,301;;27;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;2;;;;;;;;;40866;9592;;;;;50,458;;28;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;2;;;;;;;;;1315;2297;;;;;3,612;;29;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;Post;;112;47;ninja;smart;clever;;15;25;1157;;15636;15149;1941;4090;37,973;;30;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;1;;;;;;;;;2268;2614;;;;;4,882;;31;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;1;;;;;;;;;798;2717;;;;;3,515;;32;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;1;;;;;;;;;1312;2084;;;;;3,396;;33;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;1;;;;;;;;;1023;3317;;;;;4,34;;34;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;1;;;;;;;;;672;4622;;;;;5,294;;35;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;Post;;122;56;future;age;;;23;17;1796;;13824;10256;4197;7921;37,994;;36;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;1;;;;;;;;;2403;4932;;;;;7,335;;37;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;1;;;;;;;;;833;2638;;;;;3,471;;38;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;1;;;;;;;;;9328;1770;;;;;11,098;;39;92guuws5
3;6bhqmfa4;2021-06-01 12:58:53.664486;Emotional;LR;See;2;;;;;;;;;1322;3364;;;;;4,686;;40;92guuws5
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;1;;;;;;;;;4737;12675;;;;;17,412;;1;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;1;;;;;;;;;1923;5439;;;;;7,362;;2;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;Post;;28;80;;;;;33;7;1195;;29804;4361;5091;4942;45,393;;3;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;2;;;;;;;;;3362;8817;;;;;12,179;;4;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;Post;;31;90;;;;;30;10;2410;;34441;2587;1463;4656;45,557;;5;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;1;;;;;;;;;4969;7598;;;;;12,567;;6;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;2;;;;;;;;;3633;7230;;;;;10,863;;7;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;1;;;;;;;;;1496;10252;;;;;11,748;;8;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;1;;;;;;;;;867;5777;;;;;6,644;;9;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;Post;;2;93;;;;;32;8;1351;;37431;2324;1234;4800;47,14;;10;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;2;;;;;;;;;1996;9130;;;;;11,126;;11;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;1;;;;;;;;;1396;4288;;;;;5,684;;12;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;2;;;;;;;;;1555;5730;;;;;7,285;;13;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;2;;;;;;;;;1028;6854;;;;;7,882;;14;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;2;;;;;;;;;927;9650;;;;;10,577;;15;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;2;;;;;;;;;682;1514;;;;;2,196;;16;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;2;;;;;;;;;639;1567;;;;;2,206;;17;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;1;;;;;;;;;470;7554;;;;;8,024;;18;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;Post;;4;70;UK;ArchBischopofBanter;;;34;6;1482;;19330;26379;1916;6884;55,991;;19;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;HR;See;2;;;;;;;;;3160;7991;;;;;11,151;;20;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;1;;;;;;;;;1386;7215;;;;;8,601;;21;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;2;;;;;;;;;1126;5804;;;;;6,93;;22;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;2;;;;;;;;;1065;5771;;;;;6,836;;23;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;1;;;;;;;;;615;6484;;;;;7,099;;24;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;2;;;;;;;;;940;6178;;;;;7,118;;25;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;2;;;;;;;;;826;1329;;;;;2,155;;26;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;1;;;;;;;;;1209;3961;;;;;5,17;;27;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;Post;;128;44;;;;;16;24;731;;47797;1869;1586;2770;54,753;;28;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;Post;;137;63;;;;;22;18;1701;;53277;2189;754;2881;60,802;;29;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;Post;;121;72;;;;;20;20;2875;;50933;1830;904;2708;59,25;;30;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;2;;;;;;;;;1036;5191;;;;;6,227;;31;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;1;;;;;;;;;968;4502;;;;;5,47;;32;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;2;;;;;;;;;1005;2805;;;;;3,81;;33;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;1;;;;;;;;;412;10913;;;;;11,325;;34;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;Post;;137;50;;;;;22;18;582;;33548;2978;1851;1550;40,509;;35;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;2;;;;;;;;;1114;8521;;;;;9,635;;36;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;1;;;;;;;;;1657;13562;;;;;15,219;;37;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;See;1;;;;;;;;;797;4203;;;;;5;;38;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;Post;;109;59;;;;;21;19;577;;3379;2194;1377;4049;11,576;;39;8kaqlr1z
4;z3wdvzli;2021-06-02 14:47:09.125408;Control;LR;Post;;144;39;;;;;17;23;2370;;19236;2070;6722;3843;34,241;;40;8kaqlr1z
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;3655;7022;;;;;10,677;;1;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;4276;5236;;;;;9,512;;2;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;Post;;39;71;truestory;mylife;hategroupchats;;28;12;1164;;17783;16338;3435;4222;42,942;;3;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;2251;8012;;;;;10,263;;4;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;2;;;;;;;;;1846;3993;;;;;5,839;;5;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;Post;;59;84;workfromhome;studentlife;forreal;;32;8;1322;;15665;11907;1697;4417;35,008;;6;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;1798;7640;;;;;9,438;;7;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;2;;;;;;;;;1668;5200;;;;;6,868;;8;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;1152;6497;;;;;7,649;;9;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;Post;;60;78;marieantoinette;lovecats;truestory;;31;9;1460;;13828;25828;1925;1795;44,836;;10;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;1880;15334;;;;;17,214;;11;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;2;;;;;;;;;1266;4449;;;;;5,715;;12;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;1197;3824;;;;;5,021;;13;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;1071;3760;;;;;4,831;;14;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;Post;;53;69;googlebelike;stalinisback;;;29;11;846;;32514;15125;12145;2604;63,234;;15;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;2;;;;;;;;;1625;3550;;;;;5,175;;16;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;739;2900;;;;;3,639;;17;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;947;5214;;;;;6,161;;18;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;See;1;;;;;;;;;2750;6411;;;;;9,161;;19;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;HR;Post;;37;60;daddyissues;;;;29;11;1038;;13495;5059;1559;4576;25,727;;20;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;LR;See;2;;;;;;;;;3215;3173;;;;;6,388;;21;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;LR;See;1;;;;;;;;;834;5484;;;;;6,318;;22;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;LR;See;1;;;;;;;;;1323;7667;;;;;8,99;;23;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;LR;See;1;;;;;;;;;1202;3247;;;;;4,449;;24;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;LR;See;2;;;;;;;;;841;7063;;;;;7,904;;25;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;LR;See;1;;;;;;;;;743;2241;;;;;2,984;;26;92guuws5
5;usvqbupl;2021-06-01 18:20:14.697425;Control;LR;See;2;;;;;;;;;779;8051;;;;;8,83;;27;92guuws5
